,id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,availability_30,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,BezirkeNbr,Zip
0,15883,https://www.airbnb.com/rooms/15883,Donaustadt,48.241440000000004,16.42812,Hotel room,3,1.0,1.0,85.0,21,10,96.0,t,moderate,0.18,22.,1220 Wien
1,38768,https://www.airbnb.com/rooms/38768,Leopoldstadt,48.21823,16.379260000000002,Entire home/apt,5,1.0,3.0,65.0,10,303,95.0,f,strict_14_with_grace_period,2.87,2.,1020 Wien
2,40625,https://www.airbnb.com/rooms/40625,Rudolfsheim-Fünfhaus,48.18486,16.3274,Entire home/apt,6,2.0,4.0,130.0,19,149,97.0,t,moderate,1.32,15.,1150 Wien
4,70568,https://www.airbnb.com/rooms/70568,Donaustadt,48.22224,16.4246,Entire home/apt,2,1.0,1.0,59.0,30,10,94.0,f,strict_14_with_grace_period,0.1,22.,1220 Wien
5,70637,https://www.airbnb.com/rooms/70637,Leopoldstadt,48.21781,16.380229999999997,Private room,2,1.0,2.0,50.0,5,111,95.0,f,moderate,1.05,2.,1020 Wien
6,75471,https://www.airbnb.com/rooms/75471,Ottakring,48.22227,16.3154,Entire home/apt,4,2.0,2.0,74.0,0,50,97.0,t,moderate,0.5,16.,1160 Wien
7,75500,https://www.airbnb.com/rooms/75500,Brigittenau,48.235,16.366139999999998,Entire home/apt,4,2.0,2.0,80.0,21,13,92.0,f,strict_14_with_grace_period,0.13,20.,1200 Wien
8,78416,https://www.airbnb.com/rooms/78416,Rudolfsheim-Fünfhaus,48.19952,16.33075,Entire home/apt,4,1.0,2.0,55.0,12,177,87.0,t,strict_14_with_grace_period,1.68,15.,1150 Wien
9,90247,https://www.airbnb.com/rooms/90247,Neubau,48.20557,16.34968,Entire home/apt,4,1.0,2.0,98.0,2,572,97.0,t,moderate,5.47,7.,1070 Wien
10,98210,https://www.airbnb.com/rooms/98210,Margareten,48.19491,16.360789999999998,Private room,2,1.0,1.0,32.0,7,69,93.0,t,flexible,0.66,5.,1050 Wien
11,107439,https://www.airbnb.com/rooms/107439,Margareten,48.19403,16.35991,Entire home/apt,4,1.0,2.0,50.0,1,123,92.0,t,flexible,1.2,5.,1050 Wien
13,111059,https://www.airbnb.com/rooms/111059,Hernals,48.21999,16.33304,Entire home/apt,4,1.0,1.0,58.0,5,132,98.0,f,flexible,1.29,17.,1170 Wien
15,114953,https://www.airbnb.com/rooms/114953,Floridsdorf,48.2607,16.4007,Entire home/apt,4,1.0,1.0,49.0,0,15,96.0,f,moderate,0.2,21.,1210 Wien
18,119627,https://www.airbnb.com/rooms/119627,Leopoldstadt,48.22155,16.4044,Entire home/apt,5,1.0,3.0,75.0,12,23,85.0,t,moderate,0.23,2.,1020 Wien
19,121026,https://www.airbnb.com/rooms/121026,Leopoldstadt,48.21671,16.391479999999998,Entire home/apt,4,1.0,2.0,75.0,0,253,99.0,t,strict_14_with_grace_period,2.46,2.,1020 Wien
20,125683,https://www.airbnb.com/rooms/125683,Leopoldstadt,48.21853,16.40307,Entire home/apt,2,1.0,1.0,75.0,15,52,90.0,t,strict_14_with_grace_period,0.66,2.,1020 Wien
22,138264,https://www.airbnb.com/rooms/138264,Hernals,48.22316,16.318070000000002,Entire home/apt,4,1.0,4.0,92.0,15,2,100.0,t,strict_14_with_grace_period,0.16,17.,1170 Wien
23,145569,https://www.airbnb.com/rooms/145569,Wieden,48.1897,16.374660000000002,Entire home/apt,6,3.0,4.0,85.0,0,294,95.0,f,moderate,2.95,4.,1040 Wien
24,149759,https://www.airbnb.com/rooms/149759,Leopoldstadt,48.212379999999996,16.38181,Entire home/apt,4,1.0,1.0,110.0,1,5,100.0,f,strict_14_with_grace_period,0.06,2.,1020 Wien
26,153704,https://www.airbnb.com/rooms/153704,Floridsdorf,48.25591,16.400170000000003,Entire home/apt,5,1.0,1.0,69.0,1,24,95.0,f,moderate,0.24,21.,1210 Wien
27,153988,https://www.airbnb.com/rooms/153988,Alsergrund,48.2153,16.34968,Entire home/apt,3,1.0,2.0,49.0,0,123,89.0,t,moderate,1.22,9.,1090 Wien
28,155762,https://www.airbnb.com/rooms/155762,Leopoldstadt,48.22153,16.3689,Entire home/apt,2,1.0,1.0,76.0,0,5,93.0,f,moderate,0.07,2.,1020 Wien
29,158171,https://www.airbnb.com/rooms/158171,Wieden,48.19256,16.36618,Entire home/apt,2,1.0,2.0,75.0,0,208,98.0,f,moderate,2.09,4.,1040 Wien
30,163792,https://www.airbnb.com/rooms/163792,Simmering,48.18059,16.41778,Entire home/apt,4,1.0,3.0,55.0,0,94,97.0,t,moderate,0.94,11.,1110 Wien
31,169672,https://www.airbnb.com/rooms/169672,Wieden,48.196329999999996,16.36375,Private room,2,1.0,1.0,35.0,8,360,94.0,f,strict_14_with_grace_period,3.57,4.,1040 Wien
33,169852,https://www.airbnb.com/rooms/169852,Margareten,48.19381,16.360689999999998,Entire home/apt,5,1.0,2.0,65.0,9,65,94.0,t,strict_14_with_grace_period,0.67,5.,1050 Wien
35,171835,https://www.airbnb.com/rooms/171835,Wieden,48.19453,16.374979999999997,Entire home/apt,4,2.0,2.0,89.0,0,176,93.0,f,moderate,1.78,4.,1040 Wien
36,172530,https://www.airbnb.com/rooms/172530,Margareten,48.19569,16.359289999999998,Entire home/apt,7,3.0,4.0,110.0,0,186,95.0,t,strict_14_with_grace_period,1.85,5.,1050 Wien
37,174701,https://www.airbnb.com/rooms/174701,Brigittenau,48.23254,16.371679999999998,Entire home/apt,2,1.0,1.0,70.0,0,7,90.0,f,strict_14_with_grace_period,0.08,20.,1200 Wien
38,179728,https://www.airbnb.com/rooms/179728,Leopoldstadt,48.21767,16.38693,Entire home/apt,6,2.0,3.0,220.0,6,54,94.0,t,moderate,0.55,2.,1020 Wien
39,190751,https://www.airbnb.com/rooms/190751,Innere Stadt,48.20155,16.36666,Entire home/apt,4,1.0,1.0,120.0,12,92,97.0,t,strict_14_with_grace_period,0.93,1.,1010 Wien
40,197787,https://www.airbnb.com/rooms/197787,Hernals,48.22394,16.31723,Entire home/apt,2,1.0,2.0,82.0,16,2,100.0,t,strict_14_with_grace_period,0.05,17.,1170 Wien
41,197796,https://www.airbnb.com/rooms/197796,Hernals,48.2245,16.31837,Entire home/apt,3,1.0,3.0,82.0,6,1,100.0,t,strict_14_with_grace_period,0.02,17.,1170 Wien
46,197842,https://www.airbnb.com/rooms/197842,Hernals,48.22392,16.318939999999998,Entire home/apt,4,1.0,4.0,92.0,0,10,93.0,t,strict_14_with_grace_period,0.57,17.,1170 Wien
50,197865,https://www.airbnb.com/rooms/197865,Hernals,48.22448,16.318170000000002,Entire home/apt,5,2.0,5.0,117.0,16,1,80.0,t,strict_14_with_grace_period,0.01,17.,1170 Wien
51,197870,https://www.airbnb.com/rooms/197870,Hernals,48.2233,16.3166,Hotel room,5,2.0,5.0,117.0,0,1,100.0,t,strict_14_with_grace_period,0.03,17.,1170 Wien
52,197968,https://www.airbnb.com/rooms/197968,Alsergrund,48.22087,16.35291,Entire home/apt,6,2.0,4.0,89.0,24,59,96.0,f,strict_14_with_grace_period,0.68,9.,1090 Wien
53,200069,https://www.airbnb.com/rooms/200069,Mariahilf,48.19361,16.343729999999997,Entire home/apt,4,1.0,2.0,79.0,0,6,100.0,f,flexible,0.06,6.,1060 Wien
54,203691,https://www.airbnb.com/rooms/203691,Margareten,48.19489,16.35869,Private room,2,1.0,2.0,39.0,9,23,88.0,f,flexible,0.23,5.,1050 Wien
55,203707,https://www.airbnb.com/rooms/203707,Margareten,48.19385,16.359170000000002,Entire home/apt,4,1.0,2.0,37.0,6,93,91.0,t,flexible,0.93,5.,1050 Wien
56,208734,https://www.airbnb.com/rooms/208734,Mariahilf,48.19296,16.352220000000003,Entire home/apt,6,2.0,3.0,140.0,0,22,85.0,t,strict_14_with_grace_period,0.74,6.,1060 Wien
58,211188,https://www.airbnb.com/rooms/211188,Simmering,48.16101,16.41651,Entire home/apt,4,2.0,4.0,70.0,19,15,71.0,t,moderate,0.15,11.,1110 Wien
59,212649,https://www.airbnb.com/rooms/212649,Leopoldstadt,48.219429999999996,16.37923,Private room,2,1.0,2.0,50.0,3,21,97.0,f,moderate,0.23,2.,1020 Wien
60,213095,https://www.airbnb.com/rooms/213095,Rudolfsheim-Fünfhaus,48.19727,16.32757,Entire home/apt,3,1.0,2.0,100.0,22,25,96.0,f,moderate,1.09,15.,1150 Wien
61,213584,https://www.airbnb.com/rooms/213584,Meidling,48.18385,16.3419,Entire home/apt,4,2.0,2.0,50.0,3,34,96.0,f,strict_14_with_grace_period,0.35,12.,1120 Wien
63,216214,https://www.airbnb.com/rooms/216214,Margareten,48.19352,16.3592,Private room,2,1.0,1.0,24.0,13,21,88.0,t,flexible,0.21,5.,1050 Wien
64,219028,https://www.airbnb.com/rooms/219028,Neubau,48.20459,16.348779999999998,Entire home/apt,4,1.0,1.0,73.0,4,530,96.0,f,moderate,5.34,7.,1070 Wien
66,221345,https://www.airbnb.com/rooms/221345,Mariahilf,48.1973,16.3489,Entire home/apt,8,3.0,6.0,125.0,13,22,92.0,t,strict_14_with_grace_period,0.39,6.,1060 Wien
67,222608,https://www.airbnb.com/rooms/222608,Mariahilf,48.20179,16.36094,Entire home/apt,2,1.0,1.0,60.0,4,383,97.0,t,strict_14_with_grace_period,6.61,6.,1060 Wien
68,222614,https://www.airbnb.com/rooms/222614,Mariahilf,48.20085,16.36042,Entire home/apt,2,1.0,1.0,60.0,4,555,97.0,t,strict_14_with_grace_period,5.61,6.,1060 Wien
69,222776,https://www.airbnb.com/rooms/222776,Josefstadt,48.211009999999995,16.35491,Entire home/apt,4,2.0,4.0,448.0,0,15,83.0,f,moderate,0.16,8.,1080 Wien
70,229535,https://www.airbnb.com/rooms/229535,Leopoldstadt,48.21327,16.37671,Entire home/apt,5,1.0,5.0,99.0,9,400,92.0,t,strict_14_with_grace_period,4.04,2.,1020 Wien
71,230772,https://www.airbnb.com/rooms/230772,Josefstadt,48.21132,16.35473,Entire home/apt,6,2.0,4.0,490.0,0,35,95.0,f,strict_14_with_grace_period,0.35,8.,1080 Wien
73,235772,https://www.airbnb.com/rooms/235772,Landstraße,48.2083,16.39104,Entire home/apt,6,1.0,3.0,100.0,6,110,88.0,t,strict_14_with_grace_period,1.21,3.,1030 Wien
75,235803,https://www.airbnb.com/rooms/235803,Favoriten,48.172959999999996,16.36725,Entire home/apt,6,1.0,3.0,100.0,12,78,86.0,t,strict_14_with_grace_period,0.84,10.,1100 Wien
76,235805,https://www.airbnb.com/rooms/235805,Innere Stadt,48.20527,16.36927,Entire home/apt,5,2.0,5.0,112.0,7,95,98.0,f,strict_14_with_grace_period,1.11,1.,1010 Wien
77,236017,https://www.airbnb.com/rooms/236017,Währing,48.23945,16.31508,Entire home/apt,2,1.0,1.0,69.0,9,159,98.0,t,moderate,1.71,18.,1180 Wien
78,242141,https://www.airbnb.com/rooms/242141,Wieden,48.18817,16.37455,Entire home/apt,5,1.0,3.0,39.0,7,145,92.0,f,moderate,2.0,4.,1040 Wien
79,242216,https://www.airbnb.com/rooms/242216,Leopoldstadt,48.22204,16.39821,Entire home/apt,5,1.0,5.0,49.0,9,174,95.0,t,moderate,1.8,2.,1020 Wien
80,242287,https://www.airbnb.com/rooms/242287,Landstraße,48.19294,16.389570000000003,Entire home/apt,5,1.0,2.0,51.0,9,143,95.0,t,moderate,1.46,3.,1030 Wien
81,244031,https://www.airbnb.com/rooms/244031,Mariahilf,48.19294,16.343510000000002,Entire home/apt,5,1.0,3.0,98.0,21,21,97.0,f,strict_14_with_grace_period,0.22,6.,1060 Wien
82,244032,https://www.airbnb.com/rooms/244032,Mariahilf,48.19089,16.3427,Entire home/apt,6,1.0,3.0,65.0,7,133,96.0,t,strict_14_with_grace_period,1.39,6.,1060 Wien
83,244521,https://www.airbnb.com/rooms/244521,Margareten,48.19579,16.35933,Entire home/apt,4,1.0,2.0,41.0,6,150,96.0,f,flexible,1.52,5.,1050 Wien
84,244919,https://www.airbnb.com/rooms/244919,Simmering,48.17603,16.412229999999997,Entire home/apt,4,1.0,1.0,65.0,0,1,100.0,f,strict_14_with_grace_period,0.02,11.,1110 Wien
85,247290,https://www.airbnb.com/rooms/247290,Margareten,48.19384,16.358620000000002,Entire home/apt,5,1.0,3.0,39.0,30,56,90.0,f,flexible,0.57,5.,1050 Wien
86,247879,https://www.airbnb.com/rooms/247879,Mariahilf,48.194320000000005,16.34498,Entire home/apt,3,1.0,1.0,80.0,8,32,94.0,t,moderate,0.38,6.,1060 Wien
87,251790,https://www.airbnb.com/rooms/251790,Leopoldstadt,48.220420000000004,16.38124,Entire home/apt,2,1.0,1.0,50.0,11,64,98.0,f,moderate,0.66,2.,1020 Wien
88,252052,https://www.airbnb.com/rooms/252052,Neubau,48.20528,16.35515,Entire home/apt,8,2.0,6.0,150.0,0,224,97.0,f,moderate,2.28,7.,1070 Wien
89,262431,https://www.airbnb.com/rooms/262431,Rudolfsheim-Fünfhaus,48.197590000000005,16.31559,Entire home/apt,4,1.0,1.0,74.0,17,287,98.0,f,moderate,2.99,15.,1150 Wien
90,263788,https://www.airbnb.com/rooms/263788,Leopoldstadt,48.22213,16.37978,Entire home/apt,4,2.0,2.0,56.0,6,118,94.0,f,strict_14_with_grace_period,1.21,2.,1020 Wien
